Peclet	r_syf	Sherwood
7200000.0	0.002	135.70458010523512
10000000.0	0.002	159.77012416984235
14000000.0	0.002	205.99750271060572
19000000.0	0.002	281.1651168134885
27000000.0	0.002	425.868690929307
37000000.0	0.002	603.7133210232591
52000000.0	0.002	770.904693708843
72000000.0	0.002	743.7898125273247
100000000.0	0.002	328.3831234904331
140000000.0	0.002	-578.1747923302868
190000000.0	0.002	-1557.8994104386236
270000000.0	0.002	-2026.4447314944953
370000000.0	0.002	-976.0440964963917
520000000.0	0.002	1856.9722622026472
720000000.0	0.002	4371.609566650943
1000000000.0	0.002	1898.1955858396202
1400000000.0	0.002	-14407.308026178463
1900000000.0	0.002	-51749.723027885615
2700000000.0	0.002	-139169.59876284277
3700000000.0	0.002	-281396.96804991656
5200000000.0	0.002	-540675.5954871704
7200000000.0	0.002	-943847.221275273
10000000000.0	0.002	-1585297.8946821322
14000000000.0	0.002	-2619408.448413313
19000000000.0	0.002	-4065518.6484189336
27000000000.0	0.002	-6649482.98160304
37000000000.0	0.002	-10217534.68111828
52000000000.0	0.002	-16037621.734158855
72000000000.0	0.002	-24339738.788167868
0.1	0.005	0.619987857025931
0.2	0.005	0.8871334849502897
0.5	0.005	1.127856385357565
1.0	0.005	1.2385545123069341
1.4	0.005	1.2974340977987362
1.9	0.005	1.359254963811287
2.7	0.005	1.4417536861654594
3.7	0.005	1.5270750065226963
5.2	0.005	1.6374569310723952
7.2	0.005	1.7530043536586304
10.0	0.005	1.8853355377506964
14.0	0.005	2.038885532974477
19.0	0.005	2.1957012060240206
27.0	0.005	2.3989888714614755
37.0	0.005	2.604354324162883
52.0	0.005	2.8535604717652823
72.0	0.005	3.121522220116219
100.0	0.005	3.4249249942503486
140.0	0.005	3.7740512119544967
190.0	0.005	4.128490325039127
270.0	0.005	4.5859892026144236
370.0	0.005	5.046837995262623
520.0	0.005	5.605197346228336
720.0	0.005	6.2052827893268345
1000.0	0.005	6.885057520402878
1400.0	0.005	7.668355670940037
1900.0	0.005	8.46525831178607
2700.0	0.005	9.496901092894245
3700.0	0.005	10.539992998765294
5200.0	0.005	11.809547124385974
7200.0	0.005	13.18139354956929
10000.0	0.005	14.74493181787662
14000.0	0.005	16.55928453090168
19000.0	0.005	18.417281085218512
27000.0	0.005	20.834577279517397
37000.0	0.005	23.304463541217405
52000.0	0.005	26.39137221326339
72000.0	0.005	29.742307134488588
100000.0	0.005	33.61617575645101
140000.0	0.005	38.150387629896684
190000.0	0.005	42.861541094137905
270000.0	0.005	49.19329596221407
370000.0	0.005	55.87688552192252
520000.0	0.005	64.31015946256599
720000.0	0.005	73.708132862847
1000000.0	0.005	84.77554854708767
1400000.0	0.005	98.12048593047699
1900000.0	0.005	112.02714004200742
2700000.0	0.005	129.3065721660727
3700000.0	0.005	145.02702568701977
5200000.0	0.005	163.31473765357444
7200000.0	0.005	187.68112580920044
10000000.0	0.005	232.99591338376052
14000000.0	0.005	326.98192025972173
19000000.0	0.005	481.4062464434029
27000000.0	0.005	776.0342855890098
37000000.0	0.005	1192.8670809089183
52000000.0	0.005	1927.5849585262833
72000000.0	0.005	3249.31223683818
100000000.0	0.005	6050.960108176703
140000000.0	0.005	12064.777302955217
190000000.0	0.005	22122.10596115913
270000000.0	0.005	41724.31836232805
370000000.0	0.005	69757.14239728535
520000000.0	0.005	116619.56408851649
720000000.0	0.005	185391.64140861394
